Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
0,1,207.67,-87.865,566.3,0,0,0,-4.25E-05,540.973,0,2.63E-12,1.47989,-6.01E-07,1.91E-08,0,1.10E-07,0
1,2,209.84,-89.305,566.3,0,0,0,-4.08E-05,540.798,0,2.63E-12,1.17421,3.75E-08,1.49E-08,0,1.10E-07,0
2,3,212.5,-89.389,566.3,0,0,0,2.49E-05,540.101,0,2.63E-12,0.133756,7.77E-07,5.37E-09,0,1.10E-07,0
3,4,215.02,-90.061,566.3,0,0,0,2.40E-05,539.871,0,2.63E-12,0.206394,9.45E-07,5.53E-09,0,1.10E-07,0
4,5,217.2,-88.503,566.3,0,0,0,0,544.668,0,0.0001,1,1.28E-08,0,0,2.24E-06,0
5,6,206.41,-86.664,566.3,0,0,0,0,544.668,0,0.0001,1,1.41E-08,0,0,2.24E-06,0
6,7,210.11,-86.792,566.3,0,0,0,0,543.691,0,0.0001,1,4.31E-06,0,0,0.000215585,0
7,8,212.58,-86.878,566.3,0,0,0,0,543.607,0,0.0001,1,4.55E-06,0,0,0.000215585,0
8,9,214.95,-86.96,566.3,0,0,0,0,544.668,0,0.0001,1,1.10E-08,0,0,2.24E-06,0
9,10,219.43,-87.115,566.3,0,0,0,0,543.595,0,0.0001,1,4.44E-06,0,0,0.000215585,0
10,11,206.13,-85.608,566.3,0,0,0,0,544.668,0,0.0001,1,1.11E-08,0,0,2.24E-06,0
11,12,210.23,-85.658,566.3,0,0,0,0,543.693,0,0.0001,1,4.13E-06,0,0,0.000215585,0
12,13,212.61,-85.687,566.3,0,0,0,-4.01E-05,540.961,0,2.63E-12,1.67565,-6.03E-07,1.98E-08,0,1.10E-07,0
13,14,214.92,-85.715,566.3,0,0,0,2.38E-05,539.238,0,2.63E-12,0.241423,1.12E-06,6.29E-09,0,1.10E-07,0
14,15,220.14,-85.779,566.3,0,0,0,2.44E-05,539.323,0,2.63E-12,0.196528,1.20E-06,4.68E-09,0,1.10E-07,0
15,16,206.83,-84.697,566.3,0,0,0,-3.96E-05,540.703,0,2.63E-12,1.52966,-4.85E-08,2.31E-08,0,1.10E-07,0
16,17,210.34,-84.64,566.3,0,0,0,-2.38E-05,546.723,0,2.63E-12,29.6937,3.25E-06,1.06E-07,0,1.09E-07,0
17,18,212.64,-84.603,566.3,0,0,0,-2.50E-05,546.763,0,2.63E-12,20.1719,1.28E-06,6.98E-08,0,1.09E-07,0
18,19,214.89,-84.566,566.3,0,0,0,-2.11E-05,546.695,0,2.63E-12,95.1486,1.82E-05,2.13E-07,0,1.09E-07,0
19,20,219.32,-84.494,566.3,0,0,0,-2.02E-05,546.647,0,2.63E-12,58.9001,2.00E-05,1.60E-07,0,1.09E-07,0
20,21,208.52,-83.933,566.3,0,0,0,-2.26E-05,546.668,0,2.63E-12,19.4482,4.47E-06,8.33E-08,0,1.09E-07,0
21,22,210.52,-82.954,566.3,0,0,0,-2.39E-05,546.73,0,2.63E-12,15.3603,2.03E-06,6.29E-08,0,1.09E-07,0
22,23,212.68,-83.518,566.3,0,0,0,-2.04E-05,546.559,0,2.63E-12,49.8318,2.56E-05,1.32E-07,0,1.09E-07,0
23,24,214.87,-83.332,566.3,0,0,0,-2.15E-05,546.665,0,2.63E-12,96.6522,1.68E-05,2.16E-07,0,1.09E-07,0
24,25,216.99,-83.26,566.3,0,0,0,-2.13E-05,546.739,0,2.63E-12,91.0553,1.24E-05,1.52E-07,0,1.09E-07,0
25,26,191.82,-94.191,602.3,0,0,0,-2.20E-05,546.631,0,2.63E-12,77.7953,1.92E-05,1.64E-07,0,1.09E-07,0
26,27,198.26,-98.724,602.3,0,0,0,-2.33E-05,546.452,0,2.63E-12,92.8155,4.69E-05,1.45E-07,0,1.09E-07,0
27,28,205.12,-96.227,602.3,0,0,0,-2.15E-05,546.673,0,2.63E-12,152.119,1.96E-05,2.27E-07,0,1.09E-07,0
28,29,212.43,-95.687,602.3,0,0,0,-2.32E-05,546.755,0,2.63E-12,28.3135,3.64E-06,8.11E-08,0,1.09E-07,0
29,30,219.48,-92.998,602.3,0,0,0,-2.23E-05,546.696,0,2.63E-12,51.9474,1.01E-05,1.20E-07,0,1.09E-07,0
30,31,190.47,-92.573,602.3,0,0,0,-2.54E-05,546.626,0,2.63E-12,121.99,1.54E-05,2.30E-07,0,1.09E-07,0
31,32,197.56,-91.917,602.3,0,0,0,-2.40E-05,546.72,0,2.63E-12,31.7909,1.99E-06,9.45E-08,0,1.09E-07,0
32,33,204.7,-91.256,602.3,0,0,0,-2.52E-05,546.656,0,2.63E-12,139.123,1.54E-05,1.53E-07,0,1.09E-07,0
33,34,212.32,-90.55,602.3,0,0,0,-2.70E-05,546.666,0,2.63E-12,112.33,6.08E-06,1.72E-07,0,1.09E-07,0
34,35,223.15,-89.547,602.3,0,0,0,-2.42E-05,546.722,0,2.63E-12,17.2125,1.26E-06,6.00E-08,0,1.09E-07,0
35,36,189.57,-90.75,602.3,0,0,0,-2.28E-05,546.729,0,2.63E-12,40.3601,3.53E-06,3.27E-08,0,1.09E-07,0
36,37,197.34,-89.717,602.3,0,0,0,-2.29E-05,546.746,0,2.63E-12,13.8457,2.53E-06,2.57E-08,0,1.09E-07,0
