0,1,2
0,2,3
0,4,5
0,5,6
0,7,8
0,8,9
0,10,11
0,11,12
0,13,14
0,14,15
0,16,17
0,17,18
0,19,20
0,20,21
0,22,23
0,23,24
0,25,26
0,26,27
0,28,29
0,29,30
0,31,32
0,32,33
0,34,35
0,35,36
0,37,38
0,38,39
0,40,41
0,41,42
0,43,44
0,44,45
0,46,47
0,47,48
0,49,50
0,50,51
0,52,53
0,53,54
0,55,56
0,56,57
0,58,59
0,59,60
0,61,62
0,62,63
0,64,65
0,65,66
0,67,68
0,68,69
0,70,71
0,71,72
0,73,74
0,74,75
0,76,77
0,77,78
0,79,80
0,80,81
0,82,83
0,83,84
0,85,86
0,86,87
0,88,89
0,89,90
0,91,92
0,92,93
0,94,95
0,95,96
0,97,98
0,98,99
0,100,101
0,101,102
0,103,104
0,104,105
0,106,107
0,107,108
0,109,110
0,110,111
0,112,113
0,113,114
0,115,116
0,116,117
0,118,119
0,119,120
0,121,122
0,122,123
0,124,125
0,125,126
0,127,128
0,128,129
0,130,131
0,131,132
0,133,134
0,134,135
0,136,137
0,137,138
0,139,140
0,140,141
0,142,143
0,143,144
1,1,4
1,2,5
1,3,6
1,4,7
1,5,8
1,6,9
1,7,10
1,8,11
1,9,12
1,10,13
1,11,14
1,12,15
1,13,16
1,14,17
1,15,18
1,16,19
1,17,20
1,18,21
1,19,22
1,20,23
1,21,24
1,25,28
1,26,29
1,27,30
1,28,31
1,29,32
1,30,33
1,31,34
1,32,35
1,33,36
1,34,37
1,35,38
1,36,39
1,37,40
1,38,41
1,39,42
1,40,43
1,41,44
1,42,45
1,43,46
1,44,47
1,45,48
1,49,52
1,50,53
1,51,54
1,52,55
1,53,56
1,54,57
1,55,58
1,56,59
1,57,60
1,58,61
1,59,62
1,60,63
1,61,64
1,62,65
1,63,66
1,64,67
1,65,68
1,66,69
1,67,70
1,68,71
1,69,72
1,73,76
1,74,77
1,75,78
1,76,79
1,77,80
1,78,81
1,79,82
1,80,83
1,81,84
1,82,85
1,83,86
1,84,87
1,85,88
1,86,89
1,87,90
1,88,91
1,89,92
1,90,93
1,91,94
1,92,95
1,93,96
1,97,100
1,98,101
1,99,102
1,100,103
1,101,104
