0,1,2
0,2,3
0,4,5
0,5,6
0,7,8
0,8,9
0,10,11
0,11,12
0,13,14
0,14,15
0,16,17
0,17,18
0,19,20
0,20,21
0,22,23
0,23,24
0,25,26
0,26,27
0,28,29
0,29,30
0,31,32
0,32,33
0,34,35
0,35,36
0,37,38
0,38,39
0,40,41
0,41,42
0,43,44
0,44,45
0,46,47
0,47,48
0,49,50
0,50,51
0,52,53
0,53,54
1,1,4
1,2,5
1,3,6
1,4,7
1,5,8
1,6,9
1,10,13
1,11,14
1,12,15
1,13,16
1,14,17
1,15,18
1,19,22
1,20,23
1,21,24
1,22,25
1,23,26
1,24,27
1,28,31
1,29,32
1,30,33
1,31,34
1,32,35
1,33,36
1,37,40
1,38,41
1,39,42
1,40,43
1,41,44
1,42,45
1,46,49
1,47,50
1,48,51
1,49,52
1,50,53
1,51,54
2,1,10
2,2,11
2,3,12
2,4,13
2,5,14
2,6,15
2,7,16
2,8,17
2,9,18
2,10,19
2,11,20
2,12,21
2,13,22
2,14,23
2,15,24
2,16,25
2,17,26
2,18,27
2,19,28
2,20,29
2,21,30
2,22,31
2,23,32
2,24,33
2,25,34
2,26,35
2,27,36
2,28,37
2,29,38
2,30,39
2,31,40
2,32,41
2,33,42
2,34,43
2,35,44
2,36,45
2,37,46
2,38,47
2,39,48
2,40,49
2,41,50
2,42,51
2,43,52
2,44,53
2,45,54
3,1,5
3,2,4
3,2,6
3,3,5
3,4,8
3,5,7
3,5,9
3,6,8
3,10,14
3,11,13
3,11,15
3,12,14
3,13,17
3,14,16
3,14,18
3,15,17
3,19,23
3,20,22
3,20,24
3,21,23
3,22,26
3,23,25
3,23,27
3,24,26
3,28,32
3,29,31
3,29,33
3,30,32
3,31,35
3,32,34
3,32,36
3,33,35
3,37,41
3,38,40
3,38,42
3,39,41
3,40,44
3,41,43
3,41,45
3,42,44
3,46,50
3,47,49
3,47,51
3,48,50
3,49,53
3,50,52
3,50,54
3,51,53
4,1,11
4,2,10
4,2,12
4,3,11
4,10,20
4,11,19
4,11,21
4,12,20
4,19,29
4,20,28
4,20,30
4,21,29
4,28,38
4,29,37
4,29,39
4,30,38
4,37,47
4,38,46
4,38,48
4,39,47
4,4,14
4,5,13
4,5,15
4,6,14
4,13,23
4,14,22
4,14,24
4,15,23
4,22,32
4,23,31
4,23,33
4,24,32
4,31,41
4,32,40
4,32,42
4,33,41
4,40,50
4,41,49
4,41,51
4,42,50
4,7,17
4,8,16
4,8,18
4,9,17
4,16,26
4,17,25
4,17,27
4,18,26
4,25,35
4,26,34
4,26,36
4,27,35
4,34,44
4,35,43
4,35,45
4,36,44
4,43,53
4,44,52
4,44,54
4,45,53
5,1,13
5,4,10
5,4,16
5,7,13
5,10,22
5,13,19
5,13,25
5,16,22
5,19,31
5,22,28
5,22,34
5,25,31
5,28,40
5,31,37
5,31,43
5,34,40
5,37,49
5,40,46
5,40,52
5,43,49
5,2,14
5,5,11
5,5,17
5,8,14
5,11,23
5,14,20
5,14,26
5,17,23
5,20,32
5,23,29
5,23,35
5,26,32
5,29,41
5,32,38
5,32,44
5,35,41
5,38,50
5,41,47
5,41,53
5,44,50
5,3,15
5,6,12
5,6,18
5,9,15
5,12,24
5,15,21
5,15,27
5,18,24
5,21,33
5,24,30
5,24,36
5,27,33
5,30,42
5,33,39
5,33,45
5,36,42
5,39,51
5,42,48
5,42,54
5,45,51
